고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
1633,한련추출물,,Tropaeolum Majus Extract,84625-49-0,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1634,노랑수련뿌리추출물,,Nuphar Luteum Root Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1635,비누풀잎/뿌리추출물,Saponaria Extract;Saponaria Officinalis Extract;Soapwort Extract,Saponaria Officinalis Leaf/Root Extract,84775-97-3,피부컨디셔닝제,,,,,,,,,,,,,,,,
1636,라우릴피리디늄클로라이드,"1-Dodecylpyridinium Chloride;Lauryl Pyridinium Chloride Solution;Lauryl Pyridium Chloride;Pyridinium, 1-Dodecyl-, Chloride",Laurylpyridinium Chloride,104-74-5,"정전기방지제, 살균제, 체취방지제",A,B,AB,,,,,,,,,,1,,,
1637,헥실글라이콜,"2,4-Dihydroxy-2-Methylpentane;2-Methyl-2,4-pentandiol (RIFM);2-Methyl-2,4-Pentanediol;MPD;2,4-Pentanediol, 2-Methyl-;1,1,3-Trimethyltrimethylenediol",Hexylene Glycol,107-41-5,"착향제, 용제, 점도감소제",A,B,AB,,,,,,,,,,,,,
1638,허브추출물,,,,,,,,,,,,,,,,,,,,
1639,아이리쉬모스추출물,카라기난추출물(Chondrus Crispus Extract),Chondrus Crispus Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1640,물냉이꽃/잎추출물,"Nasturtium Officinale Extract;Nasturtium officinale, ext. (RIFM);Nasturtium Officinalis Extract;Watercress Extract;Watercress (Nasturtium Officinale) Extract",Nasturtium Officinale Flower/Leaf Extract,84775-70-2,"향료, 피부컨디셔닝제",,,,,,,,,,,,,,,,
1641,아틀라스시다오일,아틀라스시더우드오일(Cedrus Atlantica Wood Oil),Cedrus Atlantica Wood Oil,8000-27-9,착향제,A,C,AC,,,,,,,,,,,,,
1642,통가콩씨추출물,"통가콩씨추출물(Dipteryx Odorata Bean Extract, Dipteryx Odorata Seed Extract)",Dipteryx Odorata Seed Extract,90028-06-1,착향제,A,C,AC,,,H317,H361,,,,,,,,,
1643,폴리글리세릴-10미리스테이트,"Decaglycerin Monomyristate;Polyglyceryl Monomyristate;Tetradecanoic Acid, Monoester with Decaglycerol",Polyglyceryl-10 Myristate,87390-32-7,"피부컨디셔닝제, 계면활성제-유화제",A,C,AC,,,,,,,,,,,,,
1644,밤나무꽃추출물,,Castanea Crenata (Chestnut) Flower Extract,,,,,,,,,,,,,,,,,,
1645,카렌둘라잎추출물,카렌둘라추출물(Calendula Officinalis Extract),Calendula Officinalis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1646,옥틸도데실시트레이트크로스폴리머,,Octyldodecyl Citrate Crosspolymer,,보습제,,,,,,,,,,,,,,,,
1647,C30-38올레핀/아이소프로필말리에이트/엠에이코폴리머,C30-38올레핀/이소프로필말리에이트/엠에이코폴리머(C30-38 Olefin/Isopropyl Maleate/MA Copolymer),C30-38 Olefin/Isopropyl Maleate/MA Copolymer,75535-27-2,"계면활성제(유화제), 점도증가제(비수성)",A,C,AC,,,,,,,,,,,,,
1648,에칠헥실메톡시크릴렌,에틸헥실메톡시크릴렌,Ethylhexyl Methoxycrylene,947753-66-4,,A,C,AC,,,,,,,,,,,,,
1649,미모사잎추출물,미모사 테누이플로라잎추출물,Mimosa Tenuiflora Leaf Extract,93685-96-2,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
1650,코쿰씨버터,코쿰씨드버터(Garcinia Indica Seed Butter),Garcinia Indica Seed Butter,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
1651,세테아릴에칠헥사노에이트,세테아릴에틸헥사노에이트,Cetearyl Ethylhexanoate,,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",A,C,AC,,,,,,,,,,,,,
1652,아크릴레이트,부틸아크릴레이트/글라이콜다이메타크릴레이트크로스폴리머,Butyl Acrylate/Glycol Dimethacrylate Crosspolymer,,"흡수제, 피막형성제",,,,,,,,,,,,,,,,
1653,매도우스위트꽃추출물,메도우스위트꽃추출물,Spiraea Ulmaria Flower Extract,84775-57-5,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1654,밤부사 불가리스수,대나무수(Bambusa Vulgaris Water),Bambusa Vulgaris Water,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1655,포타슘올리보일하이드롤라이즈드귀리단백질,,Potassium Olivoyl Hydrolyzed Oat Protein,,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",,,,,,,,,,,,,,,,
1656,만다린,,Citrus Reticulata (Tangerine) Fruit,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1657,비터오렌지꽃수,,Citrus Aurantium Amara (Bitter Orange) Flower Water,,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
1658,소듐라우로일글루타메이트,"N-Dodecyl-L-Glutamic Acid, Monosodium Salt;L-Glutamic Acid, N-Dodecyl-, Monosodium Salt;Glutamic Acid, N-(1-Oxododecyl)-, Monosodium Salt;N-(1-Oxododecyl)Glutamic Acid, Monosodium Salt;Sodium N-Lauroyl-L-glutamate",Sodium Lauroyl Glutamate,29923-31-7;29923-34-0;42926-22-7;98984-78-2,모발컨디셔닝제,A,C,AC,,,,,,,,,,,,,
1659,피이지-90글리세릴아이소스테아레이트,피이지-90글리세릴이소스테아레이트 (PEG-90 Glyceryl Isostearate) ,PEG-90 Glyceryl Isostearate,,계면활성제(세정제),,,,,,,,,,,,,,,,
1660,목련나무껍질추출물,,Magnolia Kobus Bark Extract,223749-80-2,피부보습제,A,C,AC,,,,,,,,,,,,,
1661,유용성감초추출물,,Oil Soluble Licorice(Glycyrrhiza) Extract,,미백개선(기능성화장품),,,,,,,,,,,,,,,,
1662,양까막까치밥나무씨오일,블랙커런트씨오일 (Ribes Nigrum (Black Currant) Seed Oil),Ribes Nigrum (Black Currant) Seed Oil,97676-19-2,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
1663,해송자오일,잣나무씨오일,Pinus Koraiensis Seed Oil,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
1664,개청각추출물,,Codium Tomentosum Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1665,자이언트켈프추출물,자이언트켈프추출물(Macrocystis Pyrifera Extract);Kelp Extract;Kelp (Macrocystis Pyrifera) Extract;Macrocystis Pyriferae Extract,Macrocystis Pyrifera (Kelp) Extract,347174-92-9,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1666,우뭇가사리추출물,,Gelidium Amansii Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1667,녹차씨추출물,,Camellia Sinensis Seed Extract,,피부컨디셔닝제(보습제),A,B,AB,,,,,,,,유사EWG,,,,,
1668,마늘추출물,,Allium Sativum (Garlic) Bulb Extract,8008-99-9,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1669,브라질넛씨추출물,Brazil Nut (Bertholletia Excelsa) Extract,Bertholletia Excelsa Seed Extract,160965-04-8,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1670,연어알추출물,Piscum Ovum Extract (EU) Salmo Ovum Extract (EU) Salmo Ovum Extract (EU),Salmon Egg Extract,94944-92-0,,,,,,,,,,,,,,,,,
1671,포도주추출물,Champagne;Sparkling Wine,Wine Extract,,"산화방지제, 착색제, 감미제",A,C,AC,,,,,,,,,,,,,
1672,에칠헥실코코에이트,에틸헥실코코에이트,Ethylhexyl Cocoate,91052-62-9;92044-87-6,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
1673,코코글리세라이드,코코글리세라이즈,Cocoglycerides,68606-18-8,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
1674,다마스크장미꽃수,"Water, Rosa Damascena Flower",Rosa Damascena Flower Water,90106-38-0,"산화방지제, 수렴제",A,C,AC,,,H317,,H351,H318,,유사EWG,,,,,
1675,쌀배아오일,,Oryza Sativa (Rice) Germ Oil,68553-81-1,수분증발차단제,A,B,AB,,,,,,,,,,,,,
1676,소듐폴리아크릴일다이메틸타우레이트,소듐폴리아크릴로일디메칠타우레이트 (Sodium Polyacryloyldimethyl Taurate) ,Sodium Polyacryloyldimethyl Taurate,35641-59-9,"유화안정제, 점도증가제(수성) ",A,C,AC,,,,,,,,,,,,,
1677,딸기추출물,,Fragaria Ananassa (Strawberry) Fruit Extract,1175540-74-5,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1678,보리지추출물,Borage Extract,Borago Officinalis Extract,84012-16-8,"산화방지제, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제",A,C,AC,,,,,,,,유사EWG,,,,,
1679,뽕나무뿌리추출물,Mulberry (Morus Alba) Root Extract;Souhakuhi Ekisu (JPN),Morus Alba Root Extract,94167-05-2,"산화방지제, 수렴제, 피부유연화제, 보습제, 피부컨디셔닝제, 피부보호제",A,C,AC,,,,,,,,유사EWG,,,,,
1680,밤부사 불가리스수액추출물,대나무수액추출물(Bambusa Vulgaris Sap Extract),Bambusa Vulgaris Sap Extract,,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
1681,사이클로테트라실록산,사이클로테트라실록세인,Cyclotetrasiloxane,293-51-6;556-67-2,"헤어컨디셔닝제, 피부컨디셔닝제(유연제), 용제",B,C,BC,,,,H361,,,,,,,,,
1682,아사이팜열매오일,아사이야자오일(Euterpe Oleracea Fruit Oil),Euterpe Oleracea Fruit Oil,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
1683,레티닐아세테이트,"Acetic Acid, Retinyl Ester;Retinol Acetate;Vitamin A Acetate",Retinyl Acetate,127-47-9,피부컨디셔닝제,C,B,CB,,,,H360,H350,,,,,,,,
1684,티아민에이치씨엘,"3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-5-(2-Hydroxyethyl)-4-Methylthiazolium Chloride, Monohydrochloride;Thiamine hydrochloride (RIFM);thiamini hydrochloridum (EP);Thiazolium, 3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-5-(2-Hydroxyethyl)-4-Methyl, Chloride, Monohydrochloride",Thiamine HCl,1967-03-08,"향료, 피부컨디셔닝제",,,,,,,,,,,,,,,,
1685,피리독신에이치씨엘,"Aderomine Hydrochloride;Aderoxine;5-Hydroxy-6-Methyl-3,4-Pyridinedimethanol Hydrochloride;3,4-Pyridinedimethanol, 5-Hydroxy-6-Methyl-, Hydrochloride;Pyridoxine Hydrochloride;pyridoxini hydrochloridum (EP)",Pyridoxine HCl,58-56-0;12001-77-3,"모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,H360,H351,H318,,,,,,,
1686,표고버섯추출물,"표고버섯추출물(Corthellus Shiitake (Mushroom) Extract, Lentinus Edodes Extract);Shiitake Mushroom Extract",Lentinus Edodes Extract,223748-90-1,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1687,코카미도프로필피지-다이모늄클로라이드,코카미도프로필피지-디모늄클로라이드(Cocamidopropyl PG-Dimonium Chloride),Cocamidopropyl PG-Dimonium Chloride,,"정전기방지제, 헤어컨디셔닝제",,,,,,,,,,,,,1,,,
1688,옥수수커넬추출물,Corn Extract;Corn Kernel Extract;Zea Mays Kernel Extract,Zea Mays (Corn) Kernel Extract,,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
1689,카프릴릴글리세릴에텔,카프릴릴글리세릴에터,Caprylyl Glyceryl Ether,10438-94-5,"계면활성제(세정제), 계면활성제(거품촉진제)",,,,,,,,,,,,,,,,
1690,C12-14알킬디아미노에칠글라이신에이치씨엘,C12-14알킬디아미노에칠글라이신에이치씨엘(C12-14 Alkyl Diaminoethylglycine HCL),C12-14 Alkyl Diaminoethylglycine HCL,,"계면활성제(세정제), 계면활성제(유화제)",,,,,,,,,,,,,,,,
1691,엘더꽃추출물,Elder Flower Extract;Sambucus Extract,Sambucus Nigra Flower Extract,84063-58-7,"피부컨디셔닝제(기타)
피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,유사EWG,,,,,
1692,소듐카복시메틸베타-글루칸,소듐카복시메칠베타-글루칸 (Sodium Carboxymethyl Beta-Glucan),Sodium Carboxymethyl Beta-Glucan,9050-93-5,"결합제, 점도증가제(수성)",,,,,,,,,,,,,,,,
1693,참미역추출물,,Kjellmaniella Gyrata Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1694,아까시나무꽃추출물,아카시아꽃추출물;Black Locust Extract;Black Locust (Robinia Pseudacacia) Extract;Robinia Pseudacacia Flower Extract,Robinia Pseudoacacia Flower Extract,89957-93-7,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1695,흰무늬엉겅퀴추출물,Lady's Thistle Extract;Lady's Thistle (Silybum Marianum) Extract,Silybum Marianum Extract,84604-20-6,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1696,스위트아몬드열매추출물,Prunus Amygdalus Dulcis Extract;Sweet Almond Extract;Sweet Almond Fruit Extract,Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract,90320-37-9,"모발컨디셔닝제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
1697,수선화추출물,,Narcissus Tazetta Extract,,피부컨디셔닝제(기타),A,C,AC,R,,,,,,,유사EWG,,,,,
1698,캐비아추출물,캐비어추출물(Caviar Extract),Caviar Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1699,천문동뿌리추출물,천문동추출물(Asparagus Cochinchinensis Root Extract);중국아스파라거스뿌리추출물(Asparagus Lucidus Root Extract),Asparagus Cochinchinensis Root Extract;Asparagus Lucidus Root Extract,,"피부보습제, 피부컨디셔닝제, 모발컨디셔닝제",,,,,,,,,,,,,,,,
1700,메틸다이하이드로자스모네이트,메칠디하이드로자스모네이트 (Methyldihydrojasmonate),Methyldihydrojasmonate,2630-39-9;24851-98-7,"착향제, 피부컨디셔닝제(기타)",,,,S,,,,,,,,,,,,
1701,밀리타리스동충하초추출물,,,,,,,,,,,,,,,,,,,,
1702,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트크로스폴리머,하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머(Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer),Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,111286-86-3,"유화안정제, 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
1703,달맞이꽃씨추출물,,Oenothera Biennis (Evening Primrose) Seed Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1704,월계수잎추출물,Bay Laurel Extract;Grecian Laurel Extract;Laurel Extract;Laurel (Laurus Nobilis) Extract;Laurel leaves extract (Laurus nobilis L.) (RIFM);Sweet Bay Extract,Laurus Nobilis Leaf Extract,84603-73-6,"향료, 피부컨디셔닝제, 수분증발차단제",A,C,AC,R,,,,,,,,,,,,
1705,카프릴릴글루코사이드,"β-D-Glucopyranoside, Octyl",Caprylyl Glucoside,29836-26-8,계면활성제-세정제,A,C,AC,,,,,,,,,,,,,
1706,섬기린초추출물,,,,,,,,,,,,,,,,,,,,
1707,프로피오닉애씨드,Carboxyethane;Methylacetic Acid;Propanoic Acid;Propionic acid (RIFM),Propionic Acid,1979-09-04,"살균보존제, 향료, pH 조절제",A,B,AB,,,,,,H318,,,,,,,
1708,동백나무씨추출물,,Camellia Japonica seed Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1709,칸디다봄비콜라/글루코오스/메틸레이프씨데이트발효물,칸디다봄비콜라/글루코오스/메칠레이프씨데이트발효물(Candida Bombicola/Glucose/Methyl Rapeseedate Ferment),Candida Bombicola/Glucose/Methyl Rapeseedate Ferment,,계면활성제(세정제),,,,,,,,,,,,,,,,
1710,그린와틀꽃왁스,,Acacia Decurrens Flower Wax,,"피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
1711,폴리글리세린-3,Triglycerin;Triglycerol,Polyglycerin-3,25618-55-7;56090-54-1,피부보습제,A,C,AC,,,,,,,,,,,,,
1712,마룰라씨오일,비르씨오일(Sclerocarya Birrea Seed Oil),Sclerocarya Birrea Seed Oil,,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",A,C,AC,,,,,,,,,,,,,
1713,변성옥수수전분,,Corn Starch Modified,,"흡수제, 피막형성제, 피부컨디셔닝제, 점증제-비수용성",A,C,AC,,,,,,,,유사EWG,,,,,
1714,유향나무오일,유향유(Boswellia Carterii Oil),Boswellia Carterii Oil,,착향제,,,,,,,,,,,,,,,,
1715,우엉씨오일,Burdock (Arctium Lappa) Seed Oil;Burdock Seed Oil;Lappa Seed Oil,Arctium Lappa Seed Oil,,수분증발차단제,A,C,AC,,,,,,,,,,,,,
1716,고장초추출물,,,,,,,,,,,,,,,,,,,,
1717,세리신,,Sericin,60650-88-6;60650-89-7,"모발컨디셔닝제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
1718,우유단백질,"Lactis Proteinum (EU);Proteins, Milk",Milk Protein,91053-68-8,"모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
1719,스피드웰추출물,꼬리풀추출물 (Veronica Officinalis Extract),Veronica Officinalis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1720,로우스위트블랙베리추출물,블랙베리추출물 (Rubus Fruticosus (Blackberry) Fruit Extract),Rubus Fruticosus (Blackberry) Fruit Extract,84787-69-9,착향제,A,C,AC,,,,,,,,,,,,,
1721,애플민트잎추출물,,Mentha Suaveolens Leaf Extract;Mentha Rotundifolia Leaf Extract,84082-62-2,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1722,스피어민트추출물,Mentha Spicata Extract;Spearmint Extract;Spearmint extract (Mentha spicata L.) (RIFM),Mentha Viridis (Spearmint) Extract,90064-01-0,향료,,,,,,,,,,,,,,,,
1723,칼란코에 가스토니스-본니에리잎추출물,,Kalanchoe Gastonis-Bonnieri Leaf Extract,,"산화방지제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
1724,유칼립투스오일,Dinkum Oil;Eucalyptus citriodora oil (RIFM);Eucalyptus Oil;Eucalyptus oil (Eucalyptus globulus Labille) (RIFM);Yuukari Yu (JPN),Eucalyptus Globulus Leaf Oil,8000-48-4,"착향제
피부컨디셔닝제(기타)",A,B,AB,R,,H317,,,,,유사EWG,,,,,
1725,몰약추출물,몰약수지추출물,Commiphora Myrrha Resin Extract,84929-26-0,"네일컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,,,,유사EWG,,,,,
1726,아선약추출물,,Uncaria Gambir Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1727,스테아레스-4,"PEG-4 Stearyl Ether;Polyethylene Glycol 200 Stearyl Ether;Polyoxyethylene (4) Stearyl Ether;3,6,9,12-Tetraoxatriacontan-1-ol",Steareth-4,9005-00-9;59970-10-4,계면활성제-유화제,B,C,BC,,,,,,H318,,,,,,,
1728,세이지추출물,살비아추출물,Salvia Officinalis (Sage) Extract,8022-56-8,피부컨디셔닝제(기타),A,C,AC,S,,H317,,,,,,,,,,
1729,팔메스-2포스페이트,PEG-2 Palm Kernel Ether Phosphate;Polyethylene Glycol (2) Palm Kernel Ether Phosphate;Polyoxyethylene (2) Palm Kernel Ether Phosphate,Palmeth-2 Phosphate,,계면활성제-세정제,,,,,,,,,,,,,,,,
1730,콜레스테릴/베헤닐/옥틸도데실라우로일글루타메이트,,Cholesteryl/Behenyl/Octyldodecyl Lauroyl Glutamate,157351-56-9,피부컨디셔닝제(수분차단제),,,,,,,,,,,,,,,,
1731,폴리아크릴아마이드,"Acrylamide Homopolymer;2-Propenamide, Homopolymer",Polyacrylamide,9003-05-08,"결합제, 피막형성제, 모발고정제",B,B,BB,,,,,,,,,,,,,
1732,알바수련꽃추출물,수련꽃추출물 (Nymphaea Alba Flower Extract),Nymphaea Alba Flower Extract,84696-27-5,"수렴제, 착향제
피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
1733,에델바이스꽃/잎추출물,Leontopodium Alpinum Extract,Leontopodium Alpinum Flower/Leaf Extract,391900-47-3,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1734,소듐팔미토일프롤린,N-Palmitoyl-L-Proline Sodium Salt;Sodium 5-Oxo-1-Palmitoyl-L-Prolinate,Sodium Palmitoyl Proline,58725-33-0,피부컨디셔닝제,A,C,AC,,,,,,H318,,,,,,,
1735,하이드롤라이즈드식물성단백질,"Proteins, Vegetable, Hydrolysate;Vegetable Protein Hydrolysate",Hydrolyzed Vegetable Protein,73049-73-7;100209-45-8,"모발컨디셔닝제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
1736,헥실데실에칠헥사노에이트,헥실데실에틸헥사노에이트,Hexyldecyl Ethylhexanoate,,"피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
1737,카프릴릴트리메치콘,카프릴릴트라이메티콘,Caprylyl Trimethicone,187593-69-7,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
1738,매도우스위트추출물,메도우스위트추출물,Spiraea Ulmaria Extract,84775-57-5,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1739,비스-비닐다이메티콘/다이메티콘코폴리머,비스-비닐디메치콘/디메치콘코폴리머(Bis-Vinyl Dimethicone/Dimethicone Copolymer),Bis-Vinyl Dimethicone/Dimethicone Copolymer,,"유화안정제, 피막형성제, 피부컨디셔닝제(기타), 미끄럼조정제/활택제, 점도증가제(비수성)",,,,,,,,,,,,,,,,
1740,라즈베리잎추출물,,Rubus Idaeus (Raspberry) Leaf Extract,84929-76-0,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1741,와일드인디고뿌리추출물,Wild Indigo Extract,Baptisia Tinctoria Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1742,삼색제비꽃추출물,Pansy Extract;Pansy (Viola Tricolor) Extract,Viola Tricolor Extract,84012-42-0,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1743,세틸포스페이트,"Cetyl Dihydrogen Phosphate;1-Hexadecanol, Dihydrogen Phosphate;Monocetyl Phosphate;Phosphoric Acid Monohexadecyl Ester",Cetyl Phosphate,3539-43-3,계면활성제-유화제,A,C,AC,,,,,,H318,,,,,,,
1744,나일론-12,,Nylon-12,25038-74-8,벌킹제(증량제),A,C,AC,,,,,,,,,,,,,
1745,치커리뿌리추출물,Chicory Extract;Chicory extract (Cichorium intybus L.) (RIFM);Chicory Root Extract;Cichorium Intybus Extract,Cichorium Intybus (Chicory) Root Extract,68650-43-1,"향료, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
1746,브이피/에이코신코폴리머,"브이피/에이코센코폴리머 (VP/Eicosene Copolymer);1-Eicosene, Polymer with 1-Ethenyl-2-Pyrrolidinone;Eicosene*Vinylpyrrolidone Copolymer;1-Ethenyl-2-Pyrrolidinone, Polymer with 1-Eicosene;PVP/Eicosene Copolymer;2-Pyrrolidinone, 1-Ethenyl-, Polymer with 1-Eicosene",VP/Eicosene Copolymer,28211-18-9;77035-98-4,"결합제, 피막형성제, 점도증가제(비수성)",A,C,AC,,,,,,,,,,,,,
1747,스테아라미도프로필다이메틸아민,스테아라미도프로필디메칠아민 (Stearamidopropyl Dimethylamine),Stearamidopropyl Dimethylamine,7651-02-07;20182-63-2,"정전기방지제, 헤어컨디셔닝제",A,C,AC,,,,,,,,,,,,,
1748,붉은토끼풀꽃추출물,Clover Blossom Extract;Clover Extract;Clover Flower Extract;Clover tops red extract solid (Trifolium pratense L.) (RIFM);Trifolium Extract;Trifolium Pratense Extract,Trifolium Pratense (Clover) Flower Extract,85085-25-2,향료,,,,,,,,,,,,,,,,
1749,로즈오브예리코추출물,,Selaginella Lepidophylla Extract,,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
1750,리보플라빈,,Riboflavin,83-88-5,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
1751,스트렙토코쿠스 테르모필루스발효물,,Streptococcus Thermophilus Ferment,,피부컨디셔닝제(보습제),,,,,,,,,,,,,,,,
1752,여우구슬추출물,,Phyllanthus Urinaria Extract,,"산화방지제, 수렴제, 피부보호제",,,,,,,,,,,,,,,,
1753,브델리아추출물,부들레야추출물,Buddleja Davidii Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1754,클로브싹추출물,,Eugenia Caryophyllus (Clove) Bud Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1755,참당귀추출물,,Angelica Gigas Extract,,향료,A,C,AC,,,,,,,,유사EWG,,,,,
1756,참당귀싹추출물,,Angelica Gigas Sprout Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1757,비피다발효추출물,,Bifida Ferment Extract,,피부보습제,,,,,,,,,,,,,,,,
1758,하이드롤라이즈드엘라스틴,"Elastin, Hydrolysate;Hydrolyzed Animal Elastin;Hydrolyzed Elastin Solution;Proteins, Elastin, Hydrolysate",Hydrolyzed Elastin,100085-10-7;73049-73-7;91080-18-1,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
1759,차파랄추출물,채퍼랠추출물,Larrea Divaricata Extract,91722-67-7,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1760,당잔대뿌리추출물,,Adenophora Stricta Root Extract,,"보습제, 피부컨디셔닝제(보습제)",A,C,AC,,,,,,,,,,,,,
1761,하얀루핀씨추출물,화이트루핀씨추출물,Lupinus Albus Seed Extract,84082-55-3,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1762,화초껍질/열매/꽃/줄기추출물,Zanthoxylum Bungeanum Extract,Zanthoxylum Bungeanum Bark/Fruit/Flower/Stalk Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1763,사과씨추출물,,Pyrus Malus (Apple) Seed Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1764,디페닐다이메티콘,디페닐디메치콘(Diphenyl Dimethicone),Diphenyl Dimethicone,68083-14-7,"기포방지제, 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
1765,리놀레익애씨드,,Linoleic Acid,60-33-3;342889-37-6,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",A,B,AB,,,,,,H318,,,,,,,
1766,프로판디올,메틸프로판다이올,Methylpropanediol,2163-42-0,용제,A,C,AC,,,,,,,,,,,,,
1767,아크릴레이트/다이메티콘코폴리머,아크릴레이트/디메치콘코폴리머(Acrylates/Dimethicone Copolymer),Acrylates/Dimethicone Copolymer,,"안티케이킹제, 결합제, 피막형성제",,,,,,,,,,,,,,,,
1768,피피지-3미리스틸에텔,다이-피피지-3미리스틸에터아디페이트,Di-PPG-3 Myristyl Ether Adipate,,"피막형성제, 피부컨디셔닝제(유연제), 용제",A,C,AC,,,,,,,,유사EWG,,,,,
