고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
2116,소듐코카미도프로필피지-다이모늄클로라이드포스페이트,소듐코카미도프로필피지-디모늄클로라이드포스페이트 (Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate) ,Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate ,,"헤어컨디셔닝제, 계면활성제(세정제), 계면활성제(거품촉진제) ",,,,,,,,,,,,,1,,,
2117,오렌지꽃추출물,Citrus Aurantium Dulcis Flower Extract;Orange Flower Extract,Citrus Aurantium Dulcis (Orange) Flower Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2118,푸르메리아 루브라꽃추출물,,Plumeria Rubra Flower Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2119,피이지-10스테아레이트,Polyethylene Glycol 450 Monostearate;Polyoxyethylene (10) Monostearate,PEG-10 Stearate,9004-99-3,계면활성제-유화제,B,C,BC,,,,,,,,,,,,,
2120,대왕송잎추출물,,Pinus Palustris Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2121,락토바실러스/마치현발효추출물,락토바실러스/쇠비름발효추출물,Lactobacillus/Portulaca Oleracea Ferment Extract,,"산화방지제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
2122,락토바실러스/석류발효추출물,,Lactobacillus/Punica Granatum Fruit Ferment Extract,,"헤어컨디셔닝제, 피부컨디셔닝제(보습제)",,,,,,,,,,,,,,,,
2123,아스퍼질러스/효모/보리씨발효추출물,,Aspergillus/Saccharomyces/Barley Seed Ferment Extract ,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
2124,산자나무씨오일,비타민나무씨오일,Hippophae Rhamnoides Seed Oil,90106-68-6,피부보호제,,,,,,,,,,,,,,,,
2125,보아캉가씨추출물,보아칸가 아프리카나씨추출물,Voacanga Africana Seed Extract,,피부보호제,A,C,AC,,,,,,,,,,,,,
2126,아스퍼질러스/쌀발효추출물,막걸리추출물;동동주추출물,Aspergillus/Rice Ferment Extract,,피부컨디셔닝제(보습제),,,,,,,,,,,,,,,,
2127,에칠페룰레이트,에틸페룰레이트,Ethyl Ferulate,4046-02-0,산화방지제,A,C,AC,,,,,,,,,,,,,
2128,소나무잎오일,,,,,,,,,,,,,,,,,,,,
2129,오소리오일,,Badger Oil,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
2130,병풀추출물 ,Centella Extract;Fo-ti-tieng Extract;Gotu Kola Extract;Hydrocotyl Asiatica Extract;Hydrocotyl (Centella Asiatica) Extract;Hydrocotyle asiatica Extract;Hydrocotyl Extract,Centella Asiatica Extract,84696-21-9;84776-24-9,피부컨디셔닝제,A,C,AC,,,,,,,,유사EWG,,,,,
2131,글리세릴시트레이트,,,,,,,,,,,,,,,,,,,,
2132,방사무늬돌김추출물,,Porphyra Yezoensis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2133,푸코오스,"6-Deoxy-L-Galactose;L-Galactose, 6-Deoxy-",Fucose,3615-37-0;2438-80-4,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
2134,마킬루스 오도라티시마나무껍질추출물,후박나무껍질추출물 (Machilus Odoratissima Bark Extract) ,Machilus Odoratissima Bark Extract ,,피부컨디셔닝제(보습제) ,,,,,,,,,,,,,,,,
2135,팔미토일올리고펩타이드,,Palmitoyl Oligopeptide,,"피부컨디셔닝제(기타), 계면활성제(세정제)",A,C,AC,,,,,,,,,,,,,
