고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
521,"C10-16알킬벤젠설포닉애씨드,소듐염","Benzenesulfonic acid, mono-C10-16-alkyl derivs., sodium salts",68081-81-2,,C,X,X,X,X,,,,,,,G,,,,,,,,,,,,H318,
522,애씨드블루3(CI 42051),Acid Blue 3(CI 42051),3536-49-0,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
523,펙티나아제,Pectinase(Polygalacturonase),9032-75-1,,B,S,X,X,X,,,,,,,Y,,,,,,,,H334,,,,,
524,애씨드바이올렛126,Acid violet 126,,착색제,,,,,,,,,,,,,,,,1,,,,,,,,,
525,아밀신남알,Amyl Cinnamal,122-40-7,향료,C,X,S,X,X,,,,,,,,,,,,,,R,H335,H317,,,,
526,하이드록시시트로넬알,Hydroxycitronellal,107-75-5,향료,,,,,,,,,,,,Y,,,,,,,R,,H317,,,,
527,황색203호(CI 47005),Acid Yellow 3(CI 47005),8004-92-0,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
528,트리소듐시트레이트디하이드레이트,Trisodium citrate dihydrate,6132-04-03,"pH 완충제, 금속이온봉쇄제, 향료, pH 조절제",A,N,N,N,N,,,,,,,,,,,,,,,,,,,,
529,글라이콜다이스테아레이트(C16-18),"Glycol Distearate(C16-18) (Fatty acids, C16-18, esters with ethylene glycol)",91031-31-1,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",B,X,X,X,X,,,,,,,,,,,,,,,,,,,,
530,디나토늄벤조에이트,Denatonium Benzoate,3734-33-6,"변성제, 착향제",C,X,X,X,X,,,,,,,Y,,,,,,,,H335,H317,,,H318,
531,애씨드블루182,Acid blue 182,12219-26-0,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
532,녹색202호(CI 61565),Solvent Green 3(CI 61565),128-80-3,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,H317,,H351,,
533,솔벤트블루104(CI 61568),Solvent Blue 104(CI 61568),116-75-6,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
534,"알코올에톡실레이트(C6, 5EO)","Alcohol ethoxylates (C6, 5EO)",,,,,,,,,,,,,,,,,,,,,,,,,,,
535,에톡실레이티트알코올(C9-11),"Alcohols, C9-11, ethoxylated",68439-46-3,계면활성제(유화제),C,S,S,S,S,,,,,,1,G,,,,,,,,,,,,H318,
536,폴리쿼터늄-7,Polyquaternium-7,26590-05-6,"정전기방지제, 피막형성제, 모발고정제",C,X,X,X,X,,,,,,,,,1,,,,,,,,,,,
537,피그먼트그린7,Pigment green 7,1328-53-6,,C,X,X,X,X,,,,,,1,G,,,,1,,,,,,,,,
538,에톡실레이티트알코올(C16-18),"Alcohols, C16-18, ethoxylated",68439-49-6,계면활성제,C,S,S,S,S,,,,,,,G,,,,,,,,,H317,,,H318,
539,디스퍼스바이올렛 26,Disperse violet 26,6408-72-6,착색제,,,,,,,,,,,,,,,,1,,,,,H317,,,,
540,디스퍼스옐로우 54,Disperse yellow 54,12223-85-7,착색제,,,,,,,,,,,,,,,,1,,,,,,,,,
541,카나다발삼추출물,Abies Balsamea (Balsam Canada) Extract,85085-34-3,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
542,솔잣나무오일,Cupressus Sempervirens Oil,8013-86-3,향료,C,X,X,X,S,,,,,,,,,,,,,사용량/사용방법에 따라 B~C등급,,H335,H317,,,,
543,카올린,Kaolin ,1332-58-7,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 피부보호제, 미끄럼개선제",C,X,X,X,X,S,,,,,,G,,,,,,,,H334,,,H350,,
544,셀룰로오스,Cellulose,9004-34-6,"흡수제, 벌킹제, 미끄럼개선제",B,X,X,L,L,,,,,,,G,,,,,,,,,,,,,
545,덱스트린,Dextrin,9004-53-9,"흡수제, 결합제, 벌킹제(증량제), 점도증가제(수성) ",,,,,,,,,,,,G,,,,,,,,,,,,,
546,소듐락테이트,Sodium Lactate,867-56-1,"pH 완충제, 각질제거제, 보습제",A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
547,벤질벤조에이트,Benzyl Benzoate,120-51-4,"향료, 용제",D,X,S,X,X,,,,,,,,,,,,,,R,,,,,,
548,벤질아세테이트,Benzyl Acetate,140-11-4,향료,C,S,S,X,X,S,,,,,,,,,,,,,S,,,,,,
549,소듐페닐노나노에이트설포네이트,Sodium Phenylnonanoate Sulfonate,91125-43-8,계면활성제(세정제),,,,,,,,,,,,,,,,,,,,,H317,,,H318,
550,청색404호(CI 74160),Pigment Blue 15(CI 74160),147-14-8,착색제,C,X,X,X,X,,,,,,,G,,,,1,,,,,H317,,,,
551,적색122(CI 73915),Pigment Red 122(CI 73915),980-26-7,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,H318,
552,리날룰옥사이드,Linalool oxide,1365-19-1,,,,,,,,,,,,,,,,,,,,,,H317,,,,
553,테트라메틸아세틸옥타하이드로나프탈렌,Tetramethyl Acetyloctahydronaphthalenes ,54464-57-2,,,,,,,,,,,,,,,,,,,,,,H317,,,H318,
554,"2,6-다이메틸-2-헵타놀","2,6-Dimethyl-2-heptanol",13254-34-7,,C,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
555,사이클라멘알데하이드,Cyclamen Aldehyde,103-95-7,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,,,,,,,,R,,H317,H361,,,
556,베타-피넨,Beta-Pinene,127-91-3,,C,S,S,X,S,,,,,,,,,,,,,,,,H314,,,,
557,쌀발효여과물,Rice Ferment Filtrate (Sake),,피부컨디셔닝제,,,,,,,,,,,,,,,,,,,,,,,,,
558,글루코노락톤,Gluconolactone,90-80-2,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
559,알로에베라잎가루,Aloe Barbadensis Leaf Powder,85507-69-3,피부컨디셔닝제,C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
560,소듐시트레이트,"Citric acid, sodium salt",994-36-5,"pH 완충제, 금속이온봉쇄제, 향료, pH 조절제",A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
561,말토덱스트린,Maltodextrin,9050-36-6,"흡수제, 결합제, 유화안정제, 피막형성제, 모발컨디셔닝제, 피부컨디셔닝제, 현탁화제-비계면활성제",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
562,감나무잎추출물,Diospyros Kaki Leaf Extract ,91721-74-3,"산화방지제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
563,헥실살리실레이트,Hexyl Salicylate,6259-76-3,"착향제, 피부컨디셔닝제(수분차단제) ",C,X,X,X,X,,,,,,,Y,,,,,,,R,,H317,,,,
564,에틸리날룰,Ethyl Linalool,10339-55-6,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,Y,,,,,,,S,,H317,,,,
565,아이소부틸메틸테트라하이드로피란올,Isobutyl Methyl Tetrahydropyranol,63500-71-0,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,H,,,,,,,,,,,,,
566,페네틸알코올,Phenethyl Alcohol,1960-12-08,착향제,C,X,X,X,X,,,,,,,,,,,,,,,H335,H317,,,H318,
567,헥사메틸인다노피란,Hexamethylindanopyran(Galaxolide),1222-05-5,착향제,F,X,S,S,X,,,,,,,,,,,,,사용량/사용방법에 따라 C~F등급,R,,,H361,,,
568,트라이사이클로데세닐프로피오네이트,Tricyclodecenyl Propionate,17511-60-3,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,Y,,,,,,,S,,,,,,
569,베타-아이오논,beta-ionone,14901-07-6,,,,,,,,,,,,,,,,,,,,,H334,H317,,,,
570,버딜아세테이트,Verdyl acetate,5413-60-5,,C,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
571,(E)-알파메틸아이오논,(E)-alpha-methyl ionone,127-42-4,,,,,,,,,,,,,,,,,,,,,,H317,,,,
572,델타-다마스콘,delta-Damascone,57378-68-4,,,,,,,,,,,,,Y,,,,,,,R,,H317,,,,
573,부르지오날,Bourgeonal,18127-01-0,,,,,,,,,,,,,,,,,,,,R,,H317,H361,,,
574,네롤리돌,Nerolidol,7212-44-4,,,,,,,,,,,,,,,,,,,,,,H317,,,,
575,아이소유제놀,Isoeugenol,97-54-1,"감미제, 착향제",,,,,,,,,,,,,,,,,,,R,,H317,,,H318,
576,신나밀알코올,Cinnamyl Alcohol,104-54-1,"감미제, 향료",,,,,,,,,,,,,,,,,,,R,H335,H317,,,,
577,2-메톡시나프탈렌,"Naphthalene, 2-methoxy-",1993-04-09,,,,,,,,,,,,,Y,,,,,,,,,,,,,
578,다마세논,Damascenone,23696-85-7,,,,,,,,,,,,,,,,,,,,R,,H317,,,,
579,머스크케톤,Musk Ketone,81-14-1,착향제,,,,,,,,,,,,,,,,,,,,,,,H351,,
580,2-t-부틸사이클로헥실아세테이트,2-t-Butylcyclohexyl Acetate,88-41-5,착향제,C,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
581,알파-터피네올,alpha-Terpineol,98-55-5,향료,,,,,,,,,,,,H,,,,,,,,,,,,,
582,메틸렌다이옥시페닐메틸프로판알,Methylenedioxyphenyl Methylpropanal,1205-17-0,"착향제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,,,,R,,H317,,,,
583,아이소부테닐메틸테트라하이드로피란,Isobutenyl Methyltetrahydropyran,16409-43-1,착향제,C,X,X,X,X,,,,,,,,,,,,,,,,,H360,,,
584,벤젠부탄올,Benzenebutanol,92585-24-5,,,,,,,,,,,,,,,,,,,,,,H317,,,,
585,다이펜틴,DIPENTENE,7705-14-8,,,,,,,,,,,,,,,,,,,,,,H317,,,,
586,아이소프로필미리스테이트,Isopropyl Myristate,110-27-0,"결합제, 착향제, 피부컨디셔닝제(유연제)",C,X,X,X,X,,,,,,,H,,,,,,,,H335,,,,,
587,당귤추출물,Citrus Sinensis (Orange) Fruit Extract,8028-48-6,"산화방지제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
588,아이소프로필페닐부탄알,Isopropylphenylbutanal,125109-85-5,착향제,C,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
589,"2,4-다이메틸-3-사이클로헥신카복스알데하이드","2,4-Dimethyl-3-Cyclohexene Carboxaldehyde",68039-49-6,"수렴제, 착향제",C,X,X,X,X,,,,,,,Y,,,,,,,,,H317,,,,
590,트라이메틸사이클로펜테닐다이메틸아이소펜테놀,Trimethylcyclopentenyl Dimethylisopentenol,107898-54-4,착향제,,,,,,,,,,,,,,,,,,,,,,,,,
591,에틸트라이메틸사이클로펜텐부텐올,Ethyl Trimethylcyclopentene Butenol,28219-61-6,"착향제, 피부컨디셔닝제(수분차단제)",C,X,X,X,X,,,,,,,H,,,,,,,S,,,,,,
592,(E)-알파다마스콘,(E)-alpha-damascone,24720-09-0,,,,,,,,,,,,,,,,,,,,,,H317,,,H318,
593,메틸아이오논,Methyl Ionones,1335-46-2,,,,,,,,,,,,,,,,,,,,S,,H317,,,,
594,아니스알데하이드 ,Anisaldehyde,123-11-5,착향제,,,,,,,,,,,,,,,,,,,,,H317,H360,,H318,
595,디메틸페네틸부티레이트,Dimethylphenethyl butyrate,10094-34-5,,,,,,,,,,,,,,,,,,,,,,H317,,,,
596,페닐아이소헥산올,Phenylisohexanol,55066-48-3,"착향제, 피부컨디셔닝제(기타)",,,,,,,,,,,,Y,,,,,,,,,,,,H318,
597,시트로넬릴아세테이트,Citronellyl Acetate,150-84-5,향료,,,,,,,,,,,,Y,,,,,,,,,H317,,,,
598,트라이사이클로데세닐아세테이트,Tricyclodecenyl Acetate,2500-83-6,,,,,,,,,,,,,,,,,,,,,,,,,,
599,테트라메틸아세틸옥타하이드로나프탈렌,Tetramethyl Acetyloctahydronaphthalenes,68155-66-8,"착향제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,,,,,,H317,,,,
600,헥사하이드로메타노인데닐아세테이트,"4,7-Methano-1H-indenol, 3a,4,5,6,7,7a-hexahydro-, acetate",54830-99-8,,,,,,,,,,,,,Y,,,,,,,S,,H317,,,,
601,산델라,Sandela,70955-71-4,,,,,,,,,,,,,,,,,,,,,,H317,,,,
602,알파-메틸아이오논,alpha-Methyl ionone,7779-30-8,,,,,,,,,,,,,Y,,,,,,,,,H317,,,,
603,세드릴아세테이트,Cedryl acetate,77-54-3,,,,,,,,,,,,,,,,,,,,,,H317,,,,
604,아세틸헥사메틸테트랄린,Acetyl Hexamethyl Tetralin,"1506-02-1, 21145-77-7",착향제,,,,,,,,,,,,,,,,,,,,,,,,,
605,다이하이드로시트로넬올,Dihydrocitronellol,106-21-8,착향제,,,,,,,,,,,,Y,,,,,,,,,,,,,
606,산달펜타놀,Sandal Pentanol,65113-99-7,,,,,,,,,,,,,H,,,,,,,,,,,,,
607,하이드록시아이소헥실3-사이클로헥센카복스알데하이드,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,31906-04-4,착향제,,,,,,,,,,,,,,,,,,,,,H317,,,,
608,터피놀렌,Terpinolene,586-62-9,,,,,,,,,,,,,Y,,,,,,,R,,H317,,,,
609,베타-아이소메틸아이오논,beta-Isomethyl Ionone,79-89-0,,,,,,,,,,,,,,,,,,,,,,H317,,,,
610,베타-메틸아이오논,beta-Methyl Ionone,127-43-5,,,,,,,,,,,,,,,,,,,,,,H317,,,,
611,에스드라골,Estragole,140-67-0,,,,,,,,,,R,,,,,,,,,,,,H317,,,H318,
612,C12-16파레스-7,C12-16 Pareth-7,68551-12-2,계면활성제(유화제),C,S,S,S,S,,,,,,,G,,,,,,,,,,,,H318,
613,아크릴레이트코폴리머,Acrylates Copolymer,25035-69-2,"점착제, 결합제, 피막형성제, 모발고정제, 현탁화제-비계면활성제",D,X,X,X,X,,,,,,1,G,,,,,,사용량/사용방법에 따라 C~D등급,,H334,,,,,
614,디메틸옥테놀,Dimethyl Octanol,18479-55-8,,,,,,,,,,,,,,,,,,,,,,,,,,
615,멘톨,Menthol,2216-51-5,"변성제, 감미제, 향료",C,X,X,X,X,,,,,,,Y,,,,,,,,,H317,,,H318,
616,메톡시메틸부탄올,Methoxymethylbutanol,56539-66-3,용제,,,,,,,,,,,,G,,,,,,,,,,,,H318,
617,보르네올,Borneol,507-70-0,향료,,,,,,,,,,,,,,,,,,,,,,,,,
618,펜콜,Fenchol,1632-73-1,,,,,,,,,,,,,,,,,,,,,,,,,,
619,자바투메릭뿌리추출물,Curcuma Xanthorrhiza Root Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,블랙라즈베리열매추출물,Rubus Occidentalis Fruit Extract ,,"수렴제, 피부컨디셔닝제",,,,,,,,,,,,,,,,,,,,,,,,,
621,벤즈알데하이드,Benzaldehyde,100-52-7,"변성제, 향료, 감미제",C,X,S,X,X,S,S,,,,1,,,,,,,,R,,H317,,,,
622,부틸아세테이트,Butyl Acetate,123-86-4,"향료, 용제",D,S,X,X,X,S,S,,,,,,,,,,,사용량/사용방법에 따라 C~D등급,,,H317,,,,
623,카프릴릴알코올,Caprylyl Alcohol,111-87-5,착향제,C,X,X,X,X,,,,,,1,H,,,,,,,,,,,,,
624,피이지-14M,PEG-14M,25322-68-3,"결합제, 유화안정제, 점증제-수용성",C,S,S,S,S,,S,,,,1,G,,,,,,,,H335,H314,,H351,,
625,다이프로필렌글라이콜다이메틸에터,Dipropylene Glycol Dimethyl Ether,111109-77-4,용제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
626,아크릴코폴리머,,192003-74-0,,,,,,,,,,,,,,,,,,,,,,,,,,
627,시트로넬릴니트릴,Citronellyl nitrile,54464-67-2,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
628,시스-3-헥세닐살리실 레이트,cis-3-Hexenyl salicylate,65405-77-8,,,,,,,,,,,,,Y,,,,,,,,,H317,,,,
629,네츄럴프로텍터,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,매실추출물,Prunus Mume Fruit Extract,,보습제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
631,개똥쑥추출물,Artemisia Annua Extract ,84775-74-6,착향제,C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
632,포트마리골드꽃추출물,Calendula Officinalis Flower Extract ,84776-23-8,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
633,컴프리잎추출물,Symphytum Officinale Leaf Extract,84696-05-9,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
634,에버라스팅추출물,Helichrysum Italicum Extract ,90045-56-0,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,H334,H317,,,,
635,님잎추출물,Azadirachta Indica Leaf Extract,,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
636,무환자추출물,Sapindus Mukorossi Fruit Extract,,"피부컨디셔닝제, 용제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
637,라우릴알코올,Lauryl Alcohol,112-53-8,"유화안정제, 착향제, 피부컨디셔닝제(유연제), 계면활성제(거품촉진제), 점도증가제(수성), 점도증가제(비수성)",C,X,X,X,X,,,,,,1,G,,,,,,,,H335,,,,H318,
638,라벤더꽃추출물,Lavandula Angustifolia (Lavender) Flower Extract ,,착향제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
639,병풀추출물,Centella Asiatica Extract,84696-21-9,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
640,치자나무오일,Gardenia Florida Oil,68916-47-2,착향제,C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
641,치자추출물,Gardenia Florida Fruit Extract ,92457-01-7,"착색제, 피부컨디셔닝제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
642,아미노몰,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,코코아마이드,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,애플향,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,레몬즙,Citrus Limon (Lemon) Juice,84929-31-7,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,R,,,,,,
646,라임즙,Citrus Aurantifolia (Lime) Juice,,피부컨디셔닝제(기타),C,S,S,X,S,,,,,,,,,,,,,,,,,,,,
647,사과오일,Pyrus Malus (Apple) Oil,,피부컨디셔닝제,C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
648,클림바졸,Climbazole,38083-17-9,살균보존제,,,,,,,,,,,,,,,,,,,,,,,,,
649,펙테이트리아제,Pectate lyase,9015-75-2,,,,,,,,,,,,,Y,,,,,,,,H334,,,,,
650,소듐설파이트,Sodium Sulfite,7757-83-7,"산화방지제, 축모교정제, 환원제",C,S,X,X,X,,,,,,,G,,,,,,,,H334,H317,,,,
651,피이지-2페닐에터,PEG-2 Phenyl Ether,104-68-7,,,,,,,,,,,,,,,,,,,,,,,,,H318,
652,소듐도데실벤젠설포네이트,Sodium dodecylbenzenesulfonate,25155-30-0,계면활성제-세정제,C,X,X,X,X,,,,,,,G,,,,,,,,H334,H317,,,H318,
653,소듐라우레이트,Sodium Laurate,629-25-4,"계면활성제-세정제, 계면활성제-유화제",A,X,L,L,X,,,,,,,G,,,,,,,,H335,,,,H318,
654,소듐미리스테이트,Sodium Myristate,822-12-8,"계면활성제-세정제, 계면활성제-유화제",,,,,,,,,,,,G,,,,,,,,,,,,,
655,폴리알킬렌글라이콜,Polyalkylene glycol,9038-95-3,,C,S,S,S,S,,,,,,1,,,,,,,,,,,,,,
656,폴리하이드릭알코올,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,폴리아크릴레이트씨크너,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,폴리카르복실레이트나트륨염,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,실록산폴리알킬렌옥사이드코폴리머,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,코코넛오일알코올에톡실레이트,Coconut Oil Alcohol Ethoxylate,,,C,S,S,S,S,,,,,,,,,,,,,,,,,,,,
661,소듐카프레이트,Sodium Caprate,1002-62-6,계면활성제(세정제),,,,,,,,,,,,G,,,,,,,,,,,,,
662,폴리에틸렌이민에톡실레이트,Polyethyleneimine Ethoxylate,26658-46-8,,C,S,S,S,S,,,,,,,,,,,,,,,,,,,,
663,피이지-240/에이치디아이코폴리머 비스-데실테트라데세스-20에터,PEG-240/HDI Copolymer Bis-Decyltetradeceth-20 Ether,,점도증가제(수성),C,S,S,S,S,,,,,,,,,,,,,,,,,,,,
664,편백목부오일,Chamaecyparis Obtusa Wood Oil,91745-97-0,향료,,,,,,,,,,,,,,,,,,,,,H317,,,,
665,징크설페이트헵타하이드레이트,"Zinc Sulfate, Heptahydrate",7446-20-0,수렴제,F,X,H,X,X,,,,,,,,,,,,,사용량/사용방법에 따라 C~F등급,,,,,,H318,
666,폴리솔베이트,Polysorbate,,유화제,C,X,X,X,X,,S,,,,,,,,,,,,,,,,,,
667,녹차씨추출물,Camellia Sinensis Seed Extract,,피부컨디셔닝제(보습제),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
668,머스타드오일,Mustard Oil,8007-40-7,,,,,,,,,,,,,,,,,,,,,,,,,,
669,마그네슘옥사이드,Magnesium Oxide,1309-48-4,,,,,,,,,,,,,G,,,,,,,,,H317,,,H318,
670,실리카,Silica,7631-86-9,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 현탁화제-비계면활성제",C,X,X,X,X,,,,,,,G,,,,,,,,,H314,,H350,,
671,알루미나,Alumina,1344-28-1,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제",D,M,S,X,X,,,,,,1,,,,,,,,,,H317,H361,H350,,
672,황색산화철,CI 77492,,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
673,지방산베지터블오일나트륨염,"Fatty acids, vegetable-oil, sodium salts",68082-64-4,,A,X,L,L,X,,,,,,,,,,,,,,,,,,,,
674,소듐아크릴레이트코폴리머,Sodium Acrylate Copolymer ,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,소듐팔미테이트,Sodium Palmitate,408-35-5,"계면활성제-세정제, 계면활성제-유화제, 점증제-수용성",A,X,L,L,X,,,,,,,G,,,,,,,,,,,,,
676,소듐페닐노나노에이트설포네이트,Sodium Phenylnonanoate Sulfonate,91125-43-8,계면활성제(세정제),,,,,,,,,,,,,,,,,,,,,H317,,,H318,
677,소듐노나노에이트,Sodium Nonanoate,14047-60-0,,,,,,,,,,,,,,,,,,,,,,,,,H318,
678,마그네슘스테아레이트,Magnesium Stearate,557-04-0,"안티케이킹제, 벌킹제(증량제), 점도증가제(비수성)",C,X,X,X,X,,,,,,,H,,,,,,,,H335,,,,,
679,탤크(석면불포함),Talc,14807-96-6,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 피부보호제, 미끄럼개선제",C,S,X,X,S,S,,,S,,1,,,,,,,,,H335,,,H350,,
680,라우라미노프로필렌글라이콜,Lauramino Propylene Glycol,821-91-0,"계면활성제(세정제), 계면활성제(유화제)",,,,,,,,,,,,,,,,,,,,,,,,H318,
681,라우릴아민아세테이트,Lauryl amine acetate,2016-56-0,,,,,,,,,,,,,,,,,,,,,,,,,,
682,아미노실리콘폴리에테르코폴리머,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,포타슘아이소스테아레이트,Potassium Isostearate,68413-46-7,계면활성제(세정제),,,,,,,,,,,,,,,,,,,,,,,,,
684,피이지-40하이드로제네이티드캐스터오일,PEG-40 Hydrogenated Castor Oil,61788-85-0,"향료, 계면활성제-유화제, 계면활성제-용해보조제",C,S,S,S,S,,,,,,,,,,,,,,,,,,,,
685,트라이데세스-9,Trideceth-9,24938-91-8,계면활성제(유화제),D,S,S,S,S,,,,,,1,G,,,,,,사용량/사용방법에 따라 C~D등급,,,H314,,,H318,
686,포타슘미리스테이트,Potassium Myristate,13429-27-1,"계면활성제-세정제, 계면활성제-유화제",,,,,,,,,,,,G,,,,,,,,,,,,,
687,소이에틸다이모늄에토설페이트,Soyethyldimonium Ethosulfate,68308-67-8,"정전기방지제, 헤어컨디셔닝제",,,,,,,,,,,,,,1,,,,,,,,,,H318,
688,알코올에톡시레이티드프로폭시레이티드(C6-12),"Alcohols, C6-12, ethoxylated propoxylated",68937-66-6,,C,S,S,S,S,,,,,,,G,,,,,,,,,,,,H318,
689,알코올에톡시레이티드프로폭시레이티드(C10-16),"Alcohols, C10-16, ethoxylated propoxylated",69227-22-1,,C,X,X,X,X,,,,,,,G,,,,,,,,,,,,H318,
690,미리스틸알코올,Myristyl Alcohol,112-72-1,"유화안정제, 향료, 피부유연화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",C,X,X,X,X,,,,,,1,H,,,,,,,,H335,,,,H318,
691,카프릴릭애씨드,Caprylic Acid,124-07-2,"착향제, 계면활성제(세정제)",A,X,L,L,X,,,,,,,G,,,,,,,,,H314,,,H318,
692,글리세릴스테아레이트,Glyceryl Stearate,11099-07-3,"착향제, 피부컨디셔닝제(유연제), 계면활성제(유화제)",,,,,,,,,,,,G,,,,,,,,,,,,,
693,밀추출물,Triticum Aestivum (Wheat) Seed Extract,84012-44-2,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
694,적색40호, CI 16035,25956-17-6,착색제,D,X,S,X,S,,,,,,,G,,,,1,,사용량/사용방법에 따라 C~D등급,,,,,,,
695,석류홍초,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,라우릴베타인,Lauryl Betaine,683-10-3,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제), 계면활성제(거품촉진제), 점도증가제(수성) ",C,X,X,X,X,,,,,,,G,,,,,,,,,H314,,,H318,
697,카프레스-6,Capreth-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,다이팔모일에틸하이드록시에틸모늄메토설페이트,Dipalmoylethyl Hydroxyethylmonium Methosulfate,157905-74-3,"정전기방지제, 헤어컨디셔닝제",D,M,X,X,X,,,,,,,,,1,,,,,,,,,,H318,
699,소듐데하이드로아세테이트,Sodium Dehydroacetate,4418-26-2,살균보존제,,,,,,,,,,,,,,,,,,,,,,,,,
700,하이드롤라이즈드쌀단백질,Hydrolyzed Rice Protein,100209-45-8,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,,,,,,,,,,
701,데세스-6,Deceth-6,26183-52-8,계면활성제(유화제),C,S,S,S,S,,,,,,,G,,,,,,,,,,,,H318,
702,헵틸글루코사이드,Heptyl Glucoside,100231-64-9,"계면활성제(친수제), 계면활성제(용해보조제)",,,,,,,,,,,,,,,,,,,,,,,,,
703,CI 42080,CI 42080,3486-30-4,,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
704,코카미도프로필피지-다이모늄클로라이드포스페이트,Cocamidopropyl PG-Dimonium Chloride Phosphate,83682-78-4,"정전기방지제, 헤어컨디셔닝제",,,,,,,,,,,,,,1,,,,,,,,,,H318,
