고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
93,3-헥센올,3-HEXENOL,928-96-1,향료,B,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
94,아밀살리실레이트,Amyl salicylate,2050-08-0,향료,C,X,X,X,X,,,,,,,Y,,,,,,,R,,,,,,
95,2-메틸운데카날,2-METHYLUNDECANAL,110-41-8,,C,X,X,X,X,,,,,,,Y,,,,,,,R,,H317,,,,
96,테트라소듐이미노디석시네이트,Tetrasodium iminodisuccinate,144538-83-0,금속이온봉쇄제,C,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
97,캐모마일꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract ,84082-60-0,"향료, 피부컨디셔닝제, 수분증발차단제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
98,바닐린,Vanillin,121-33-5,"감미제, 착향제",C,X,S,X,X,,,,,,,G,,,,,,사용량/사용방법에 따라 B~C등급,R,,,,,,
99,메틸다이하이드로자스모네이트 (헤디온),Methyl dihydrojasmonate (Hedione),24851-98-7,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,G,,,,,,,S,,,,,,
100,메틸벤질 아세테이트,Methylbenzyl acetate,"93-92-5, 2216-45-7","착향제, 용제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
101,블랙커런트씨 오일,Ribes nigrum (blackcurrant) seed oil,97676-19-2,피부컨디셔닝제(유연제),C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
102,알릴카프로에이트,Allyl caproate,123-68-2,"수렴제, 향료",C,X,X,X,X,,,,,,,,,,,,,,,H335,,,,,
103,에틸아세테이트,Ethyl Acetate ,141-78-6,"착향제, 용제",C,X,X,X,X,S,S,,,1,,,,,,,,,,H335,H314,,,,
104,에틸렌브라실레이트,Ethylene Brassylate,105-95-3,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,H,,,,,,,,,,,,,
105,프로테아제,Protease,9001-92-7,"용해제, 피부컨디셔닝제",B,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
106,프로판디올,Propanediol,504-63-2,"용제, 점도감소제",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
107,변성알코올,Alcohol denatured,64-17-5,"기포방지제, 수렴제, 향료, 용제, 점도감소제",B,X,X,X,L,S,S,S,S,,1,G,,,,,,사용량/사용방법에 따라 A~B등급,,H335,H314,H360,H350,H318,
108,징크리시놀리에이트,Zinc ricinoleate,13040-19-2,"안티케이킹제, 탈취제, 불투명화제",F,X,H,X,X,,,,,,,Y,,,,,,사용량/사용방법에 따라 C~F등급,,,,,,,
109,트리에칠시트레이트,Triethyl Citrate ,77-93-0,"향료, 가소제",C,X,X,X,X,,,,,,,Y,,,,,,,,,,,H350,,
110,라즈베리케톤,Raspberry ketone,5471-51-2,"착향제, 피부컨디셔닝제(기타)",C,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
111,귀리커넬가루,Avena sativa kernel flour,134134-86-4,"연마제, 흡수제, 벌킹제(증량제), 점도증가제(수성)",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
112,디하이드로제네이티드팔모일하이드록시에칠모늄메토설페이트,Dihydrogenated Palmoyl Hydroxyethylmonium Methosulfate,223136-63-8,"정전기방지제, 모발컨디셔닝제",D,M,X,X,X,,,,,,,,,1,,,,,,,,,,,
113,글리세릴카프릴레이트,Glyceryl Caprylate,26402-26-6,"피부유연화제, 계면활성제-유화제",C,X,X,X,X,,,,,,,H,,,,,,,,,,,,,
114,락토바실러스/소이빈발효추출물,Lactobacillus/Soybean Ferment Extract,,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
115,흰버드나무껍질추출물,Salix Alba(Wite Willow)Bark Extract,84082-82-6,"헤어컨디셔닝제, 피부컨디셔닝제(수분차단제)",C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
116,육계추출물,Cinnamonum Cassia(Cinnamon) Bark Extract,84961-46-6,"피부보호제, 산화방지제, 수렴제, 피부유연화제, 피부보습제, 피부컨디셔닝제",C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
117,편백수,Chamaecyparis Obtusa Water,,향료,,,,,,,,,,,,,,,,,,,,,,,,,
118,오레가노잎추출물,Origanum Vulgare Leaf Extract,84012-24-8,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
119,황금추출물,Scutellaria Baicalensis Root Extract,94279-99-9,피부보습제,C,X,X,X,X,,,,,,,,,,,,,,,H335,,,,,
120,마치현추출물,Portulaca Oleracea Extract,90083-07-1,피부보습제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
121,올리브오일,Olea Europaea (Olive) Fruit Oil ,8001-25-0,"향료, 수분증발차단제",A,N,N,N,N,,,,,,,G,,,,,,,,,H317,,,,
122,에틸헥실글리세린,EthylhexylGlycerin,70445-33-9,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
123,메틸프로판디올,Methyl Propanediol,2163-42-0,용제,,,,,,,,,,,,,,,,,,,,H335,,,,,
124,"1,2-헥산디올","1,2-Hexanediol",6920-22-5,용제,,,,,,,,,,,,G,,,,,,,,H335,,,,,
125,편백오일,Chamaecyparis obtusa oil ,91745-97-0,향료,,,,,,,,,,,,,,,,,,,,,H317,,,,
126,구주소나무잎오일,Pinus Sylvestris Leaf Oil ,8023-99-2,착향제,C,S,S,X,S,,,,,,,,,,,,,,,,H317,,,,
127,데실글루코사이드,Decyl glucoside,"68515-73-1, 58846-77-8",계면활성제-세정제,B,X,S,L,X,,,,,,,G,,,,,,,,,,,,H318,
128,디프로필렌글라이콜,Dipropylene glycol,"110-98-5, 25265-71-8","향료, 용제, 점도감소제",C,S,S,S,S,,,,,,,G,,,,,,,,,,,,,
129,포타슘코코일글리시네이트,Potassium cocoyl glycinate,301341-58-2,"모발컨디셔닝제, 계면활성제-세정제",,,,,,,,,,,,,,,,,,,,,,,,,
130,포타슘코코에이트,Potassium cocoate,61789-30-8,"계면활성제-세정제, 계면활성제-유화제",A,X,L,L,X,,,,,,,G,,,,,,,,,H314,,,,
131,메칠클로로이소치아졸리논,Methylchloroisothiazolinone,26172-55-4,살균보존제,D,X,S,X,X,,,,,1,,Y,,,,,1,사용량/사용방법에 따라 C~D등급,,H334,H317,,,H318,
132,산양유,Goat Milk,,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
133,블루아가베잎추출물,Agave Tequilana Leaf Extract,,수렴제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
134,디메칠설폰,Dimethyl Sulfone,67-71-0,"용제, 점도감소제",,,,,,,,,,,,,,,,,,,,,,,,,
